,_file,copyright,date,location,pano_id,status,Unnamed: 0,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
9674,gsv_9674.jpg,© Google,2013-08-01,"{'lat': 42.28898421997929, 'lng': -71.16480664643794}",oHgGeaqjHksspXeXxBMrmQ,OK,118930,Boston,42.289062,-71.16503900000002,24.780321,0,POINT (-71.16503900000002 42.289062),54446,Residential
660,gsv_660.jpg,© Google,2018-08-01,"{'lat': 42.30148803852563, 'lng': -71.08132281808047}",O7IBicPcNj4MuClBshLNlQ,OK,3877,Boston,42.301598,-71.08144399999998,24.931804999999997,1,POINT (-71.08144399999998 42.301598),54675,Residential
5208,gsv_5208.jpg,© Google,2013-08-01,"{'lat': 42.2909311332986, 'lng': -71.15960436542149}",s3oLvdcPvd1Rrrg4ewHaYQ,OK,119919,Boston,42.291012,-71.15978199999998,23.582384,0,POINT (-71.15978199999998 42.291012),54487,Residential
2815,gsv_2815.jpg,© Google,2016-06-01,"{'lat': 42.28247450171336, 'lng': -71.13389182564282}",6G8uVm1kUwiTWumzPuZ9eg,OK,115001,Boston,42.282562,-71.133888,27.221135999999998,1,POINT (-71.133888 42.282562),54250,Residential
857,gsv_857.jpg,© Google,2016-06-01,"{'lat': 42.25457918846389, 'lng': -71.1166072479929}",52OsYeihTF8Zau2vATMAuQ,OK,94460,Boston,42.254612,-71.11663100000001,28.337402,1,POINT (-71.11663100000001 42.254612),54430,Residential
10636,gsv_10636.jpg,© Brandon Pousley,2018-12-01,"{'lat': 42.3030738, 'lng': -71.0868152}",CAoSLEFGMVFpcE9OQWZycW9wRkczSTBDelZ0V19sLUJWNmlZVm01VXA0SFhkUVFB,OK,4182,Boston,42.302898,-71.087074,26.292403999999998,1,POINT (-71.087074 42.302898),54676,Open Space
19985,gsv_19985.jpg,© Google,2017-07-01,"{'lat': 42.3374924, 'lng': -71.0710821}",urt89Vzf6a4enSYm0cQ7lA,OK,18545,Boston,42.337672999999995,-71.070747,18.926317,0,POINT (-71.070747 42.337673),54929,Comm/Instit
12036,gsv_12036.jpg,© Google,2015-10-01,"{'lat': 42.36876966768305, 'lng': -71.06404143357933}",OGxl29-BErZ_KuvDEH5jEg,OK,38584,Boston,42.368874,-71.06399499999998,18.854858,0,POINT (-71.06399499999998 42.368874),55109,Open Space
4828,gsv_4828.jpg,© Google,2018-10-01,"{'lat': 42.2922096150088, 'lng': -71.06029615614617}",iEu6m7wLlZ-vJvaO0AKpcQ,OK,1784,Boston,42.292175,-71.060242,27.775328000000002,1,POINT (-71.060242 42.292175),55678,Residential
7044,gsv_7044.jpg,© Google,2018-08-01,"{'lat': 42.31826542154291, 'lng': -71.08640629621699}",qnIJM-O6zCTMwbQHJI1qjA,OK,9128,Boston,42.318172,-71.08651,22.807844,0,POINT (-71.08651 42.318172),54749,Residential
15187,gsv_15187.jpg,© Google,2018-08-01,"{'lat': 42.32933065704778, 'lng': -71.07134601859329}",48Dwwg7M4772Pva0xmdRWw,OK,13455,Boston,42.329223999999996,-71.071495,19.214573,0,POINT (-71.071495 42.329224),54519,Industrial
16123,gsv_16123.jpg,© Google,2018-07-01,"{'lat': 42.31900582346593, 'lng': -71.09954531593256}",ui8a_8oBSS9PcwyfTNVBsw,OK,9545,Boston,42.319148999999996,-71.099457,15.444543,0,POINT (-71.099457 42.319149),54245,Industrial
5345,gsv_5345.jpg,© Google,2013-08-01,"{'lat': 42.27376097260938, 'lng': -71.12242014961654}",gTBVf7-mPg3Ra6gQrMUJAw,OK,108914,Boston,42.273788,-71.12207,21.56843,0,POINT (-71.12206999999999 42.273788),54308,Residential
16581,gsv_16581.jpg,© Google,2013-08-01,"{'lat': 42.30021392080913, 'lng': -71.16724373307717}",3FoVxgSCAe-1dL5ZrG1thg,OK,123301,Boston,42.300114,-71.167664,26.265255,1,POINT (-71.167664 42.300114),54443,Miscellaneous
1246,gsv_1246.jpg,© Google,2018-08-01,"{'lat': 42.28703781288946, 'lng': -71.08085951338771}",K2rdvx0djmi4_8TBHqPmLA,OK,117697,Boston,42.286804,-71.08040600000002,25.67452,1,POINT (-71.08040600000002 42.286804),54673,Residential
6822,gsv_6822.jpg,© Google,2018-09-01,"{'lat': 42.34418521674129, 'lng': -71.07721538217848}",BgL8CoMaIzMymCDeqsWy1Q,OK,22685,Boston,42.344173,-71.077126,22.151794,0,POINT (-71.07712600000001 42.344173),54895,Residential
10320,gsv_10320.jpg,© Google,2015-08-01,"{'lat': 42.3613471345484, 'lng': -71.0521257006981}",KIoQZ89PbgjEpXouk52z8Q,OK,33879,Boston,42.361401,-71.05216999999998,27.616545000000002,1,POINT (-71.05216999999998 42.361401),54834,Open Space
15421,gsv_15421.jpg,© Google,2018-08-01,"{'lat': 42.30495821108964, 'lng': -71.10897526591108}",CfDhfMqa6tIQYgtdcC5OPg,OK,125247,Boston,42.305054,-71.109276,17.174826,0,POINT (-71.10927599999999 42.305054),55787,Industrial
17616,gsv_17616.jpg,© Google,2017-08-01,"{'lat': 42.3748137, 'lng': -71.023962}",7nHB7iLl3NuXUKrkAAD-UQ,OK,42696,Boston,42.37505,-71.023651,17.964926000000006,0,POINT (-71.023651 42.37505),55435,Miscellaneous
15143,gsv_15143.jpg,© Google,2014-09-01,"{'lat': 42.29784940066335, 'lng': -71.05374313744771}",a9t3tgNqgMcH3ZaeZUUpRA,OK,3051,Boston,42.298023,-71.05348199999997,14.560491,0,POINT (-71.05348199999997 42.298023),55699,Industrial
18847,gsv_18847.jpg,© Google,2018-08-01,"{'lat': 42.35405569804003, 'lng': -71.05980997373533}",CmVnE4KJVlM8KElqj1tbZg,OK,29532,Boston,42.353924,-71.05948599999998,25.325726,1,POINT (-71.05948599999998 42.353924),54842,Business
186,gsv_186.jpg,© Google,2018-07-01,"{'lat': 42.31090822824578, 'lng': -71.12411825610911}",N9Ve0dqkzq32D5T_Hlbv2Q,OK,127762,Boston,42.310844,-71.124321,26.747339,1,POINT (-71.12432099999999 42.310844),54244,Residential
7774,gsv_7774.jpg,© Google,2018-11-01,"{'lat': 42.37474062518755, 'lng': -71.05725255943513}",nsU6tUUH4_uTZWzvF-rZig,OK,42505,Boston,42.374725,-71.057236,17.265864999999998,0,POINT (-71.057236 42.374725),54791,Residential
3222,gsv_3222.jpg,© Google,2011-08-01,"{'lat': 42.28407903590927, 'lng': -71.118858277877}",WKTPSZ7bAjHQ-lZPc-dvmQ,OK,116029,Boston,42.284187,-71.11869,26.015179,1,POINT (-71.11869 42.284187),54250,Residential
3262,gsv_3262.jpg,© Google,2013-08-01,"{'lat': 42.28415336555683, 'lng': -71.1593415791108}",hfB5AThQvLAnyVHolP59oQ,OK,115894,Boston,42.283863000000004,-71.15978199999998,26.996121999999996,1,POINT (-71.15978199999998 42.283863),54487,Residential
5752,gsv_5752.jpg,© Google,2018-08-01,"{'lat': 42.29154462137707, 'lng': -71.05049086343851}",UUAUx6Uj3KmoepZCUDQOAw,OK,1639,Boston,42.291523,-71.050484,23.789382999999997,0,POINT (-71.050484 42.291523),55721,Residential
7475,gsv_7475.jpg,© Google,2018-08-01,"{'lat': 42.29240838949001, 'lng': -71.0557046683707}",Uxso5onh4gs_YVyJs_X1xw,OK,1841,Boston,42.2925,-71.05555,24.5868,0,POINT (-71.05555 42.2925),55666,Residential
17935,gsv_17935.jpg,© Google,2018-09-01,"{'lat': 42.2909609188348, 'lng': -71.09214675976824}",AkdMLMOluw-Iap7idw38fA,OK,119960,Boston,42.291016,-71.092239,24.867762,0,POINT (-71.09223900000001 42.291016),54646,Miscellaneous
15730,gsv_15730.jpg,© Google,2018-08-01,"{'lat': 42.32930511811826, 'lng': -71.06967031519298}",G5yUZwC0JMknPA8_a64vuQ,OK,13615,Boston,42.329547999999996,-71.06980899999998,18.312654000000002,0,POINT (-71.06980899999998 42.329548),54519,Industrial
10043,gsv_10043.jpg,© Google,2018-07-01,"{'lat': 42.3050568, 'lng': -71.111908}",Qy_mysgr-99h1NBfyjFWyQ,OK,125243,Boston,42.305015999999995,-71.111549,29.319712,1,POINT (-71.111549 42.305016),55807,Open Space
1542,gsv_1542.jpg,© Google,2018-08-01,"{'lat': 42.34976479719214, 'lng': -71.13503752896395}",zetAJFaUW72Kmp5yspUiNw,OK,26755,Boston,42.349697,-71.135109,29.016005,1,POINT (-71.135109 42.349697),55265,Residential
3745,gsv_3745.jpg,© Google,2013-09-01,"{'lat': 42.28520261459165, 'lng': -71.16837326816106}",KRGGGvNnLg33H-0qCbNv9w,OK,116712,Boston,42.285164,-71.168419,26.738026,1,POINT (-71.168419 42.285164),54446,Residential
18866,gsv_18866.jpg,© Google,2018-11-01,"{'lat': 42.27101037359125, 'lng': -71.17318672060716}",pWdgXT2blYAe6Rihvw2A0g,OK,106668,Boston,42.270863,-71.17291999999998,33.792564,1,POINT (-71.17291999999998 42.270863),54483,Business
10078,gsv_10078.jpg,© Google,2016-11-01,"{'lat': 42.25458652237499, 'lng': -71.13683668836293}",I4jbmJnR6TfLJljFbN4U5g,OK,94491,Boston,42.254612,-71.136894,31.206251,1,POINT (-71.136894 42.254612),54355,Open Space
4292,gsv_4292.jpg,© Google,2016-06-01,"{'lat': 42.288039657679, 'lng': -71.14296828211155}",v3DuqHjm26cuNM8bF4eZ3A,OK,118386,Boston,42.288090000000004,-71.143089,26.059418,1,POINT (-71.143089 42.28809),54265,Residential
9908,gsv_9908.jpg,© Google,2018-07-01,"{'lat': 42.32026050000001, 'lng': -71.1076086}",YpqiO1Ejrn6K8vD6K7TcBA,OK,9940,Boston,42.320126,-71.107529,23.545488,0,POINT (-71.107529 42.320126),55836,Residential
7780,gsv_7780.jpg,© Google,2018-08-01,"{'lat': 42.3777976, 'lng': -71.0557617}",FgOkyEosApshmkFCfvu91Q,OK,44854,Boston,42.377975,-71.05573299999998,21.990804999999998,0,POINT (-71.05573299999998 42.377975),54786,Residential
1429,gsv_1429.jpg,© Google,2018-08-01,"{'lat': 42.33284361595712, 'lng': -71.11063404631672}",HaIrErATT48edZ1Nl-1dng,OK,15764,Boston,42.333121999999996,-71.110901,25.966272,1,POINT (-71.110901 42.333122),55044,Residential
4619,gsv_4619.jpg,© Google,2014-09-01,"{'lat': 42.28813844827264, 'lng': -71.05411296166797}",XINpKrdmESRgvAeirE5IEQ,OK,1009,Boston,42.287949,-71.05442,29.108156,1,POINT (-71.05441999999999 42.287949),55674,Residential
6234,gsv_6234.jpg,© Google,2009-09-01,"{'lat': 42.3795704, 'lng': -71.0577652}",xU-u0ILj4LKCT6JbPyOIRA,OK,46078,Boston,42.379601,-71.0578,23.335676,0,POINT (-71.0578 42.379601),54851,Residential
6922,gsv_6922.jpg,© Carlton SooHoo,2016-11-01,"{'lat': 42.3364679, 'lng': -71.0998582}",CAoSLEFGMVFpcE9BcHQzaU4ydnRFbHVsZXR1QU9fM09ScF9qRHVyZU5rbnlDX005,OK,17785,Boston,42.336372,-71.100021,24.213179,0,POINT (-71.100021 42.336372),55228,Residential
8181,gsv_8181.jpg,© Google,2018-08-01,"{'lat': 42.37343537397535, 'lng': -71.06344910835548}",eN6htrkRYHAxUwjQKEe-uw,OK,41643,Boston,42.373425,-71.063614,22.478922,0,POINT (-71.063614 42.373425),54824,Residential
16663,gsv_16663.jpg,© Google,2018-10-01,"{'lat': 42.3581778508864, 'lng': -71.05203424943358}",qX1gpV48uJC-6kSwd2BRVA,OK,31992,Boston,42.35815,-71.05216999999998,26.18921700000001,1,POINT (-71.05216999999998 42.35815),54761,Mixed Use
5277,gsv_5277.jpg,© Google,2018-08-01,"{'lat': 42.29010277170091, 'lng': -71.07340462109063}",Oqk3ar-Hs6HSWqddtGjNAg,OK,1311,Boston,42.289867,-71.073578,23.707565,0,POINT (-71.073578 42.289867),55564,Residential
6307,gsv_6307.jpg,© Google,2018-08-01,"{'lat': 42.35096833138386, 'lng': -71.14008714250022}",Vb4edxvzLPMXItkDL654Cg,OK,27727,Boston,42.350998,-71.139984,23.61269,0,POINT (-71.139984 42.350998),55381,Residential
9080,gsv_9080.jpg,© Google,2017-07-01,"{'lat': 42.2867952312773, 'lng': -71.12080355956785}",kaao3Jm2TWgHmqZmnwp4iQ,OK,117787,Boston,42.287113,-71.120384,24.828823,0,POINT (-71.120384 42.287113),54250,Residential
15301,gsv_15301.jpg,© Google,2018-08-01,"{'lat': 42.3334753, 'lng': -71.0570189}",JY5KzLMqex9I77FT0RJCMQ,OK,15885,Boston,42.33345,-71.057426,17.216482,0,POINT (-71.05742600000001 42.33345),55419,Industrial
7599,gsv_7599.jpg,© Google,2018-08-01,"{'lat': 42.31655811418097, 'lng': -71.06753709403982}",YKuyErwuxcpOsL-pmVGVgw,OK,8449,Boston,42.316547,-71.06755799999998,22.658381,0,POINT (-71.06755799999998 42.316547),55662,Residential
904,gsv_904.jpg,© Google,2018-08-01,"{'lat': 42.28381703558834, 'lng': -71.06219320306556}",b3_ZzmX6wlS2kVbI7ntP7A,OK,465,Boston,42.284034999999996,-71.062309,29.171349,1,POINT (-71.062309 42.284035),55716,Residential
2076,gsv_2076.jpg,© Google,2018-07-01,"{'lat': 42.31586084229245, 'lng': -71.11261159624465}",QpqJvh20auCsmIJjrGbFuQ,OK,8274,Boston,42.315899,-71.112595,25.239731,1,POINT (-71.112595 42.315899),55775,Residential
8834,gsv_8834.jpg,© Google,2018-10-01,"{'lat': 42.34727920373615, 'lng': -71.13983662560746}",fpbgeaU72HQSELj-RpPOSQ,OK,24838,Boston,42.347099,-71.139984,23.097217999999998,0,POINT (-71.139984 42.347099),55267,Residential
6039,gsv_6039.jpg,© Google,2011-08-01,"{'lat': 42.25682252410964, 'lng': -71.14100878853652}",BCmdKK9PzCGov3Oz0FBnPA,OK,96297,Boston,42.256889,-71.140839,24.240343,0,POINT (-71.140839 42.256889),54368,Residential
15961,gsv_15961.jpg,© Google,2018-08-01,"{'lat': 42.3427359, 'lng': -71.0525914}",nElyaSf1It8QOuhjB1WaYg,OK,21740,Boston,42.342873,-71.052734,17.516287,0,POINT (-71.052734 42.342873),55422,Industrial
15755,gsv_15755.jpg,© Google,2018-08-01,"{'lat': 42.34498462299987, 'lng': -71.04210600038917}",duqtfOwLMuAi-tq33bqyaA,OK,23061,Boston,42.344826,-71.042229,21.682665,0,POINT (-71.04222900000001 42.344826),54199,Industrial
14107,gsv_14107.jpg,© Google,2018-10-01,"{'lat': 42.33770774008386, 'lng': -71.06474366059045}",iRek1n09U0d0gWF3LYFDTg,OK,18535,Boston,42.337672999999995,-71.064743,16.909285999999998,0,POINT (-71.06474300000001 42.337673),55419,Industrial
2144,gsv_2144.jpg,© Google,2018-08-01,"{'lat': 42.3502876, 'lng': -71.1410597}",qOsJ27gfePudiHuecTRwlQ,OK,27248,Boston,42.350349,-71.141113,31.94910800000001,1,POINT (-71.141113 42.350349),55387,Residential
2250,gsv_2250.jpg,© Google,2018-10-01,"{'lat': 42.28010996995964, 'lng': -71.05793879130601}",5moL2rldgxvlQmoKPNnE1g,OK,124,Boston,42.280418,-71.058022,30.092340000000004,1,POINT (-71.05802199999999 42.280418),55710,Residential
8844,gsv_8844.jpg,© Google,2018-08-01,"{'lat': 42.25787016529956, 'lng': -71.11887679332696}",0B63Wugp05L62ueBk77AWQ,OK,97023,Boston,42.257862,-71.118881,24.406935,0,POINT (-71.118881 42.257862),54344,Residential
4249,gsv_4249.jpg,© Google,2018-07-01,"{'lat': 42.3200502, 'lng': -71.1066166}",Ux6AqovPCOisl637r3gmig,OK,9938,Boston,42.320126,-71.1064,25.620048999999998,1,POINT (-71.10639999999999 42.320126),55836,Residential
696,gsv_696.jpg,© Google,2017-07-01,"{'lat': 42.275571815862, 'lng': -71.14650870203798}",h7V4qx93Ir1nwJ2gKKzm-w,OK,110385,Boston,42.275738,-71.146461,28.267107,1,POINT (-71.146461 42.275738),54445,Residential
5020,gsv_5020.jpg,© Google,2018-07-01,"{'lat': 42.28358094083909, 'lng': -71.09627633294028}",mOUQJprnRiB0BmlEpTu6uQ,OK,115595,Boston,42.28353900000001,-71.096176,24.848015,0,POINT (-71.096176 42.28353900000001),54645,Residential
19782,gsv_19782.jpg,© Google,2017-07-01,"{'lat': 42.27370011508863, 'lng': -71.16996648369843}",BkeZVsNZODDCm8MVbS9rQw,OK,108971,Boston,42.273788,-71.170105,26.724936,1,POINT (-71.17010500000001 42.273788),54484,Comm/Instit
9791,gsv_9791.jpg,© Google,2017-07-01,"{'lat': 42.27582036269548, 'lng': -71.14763948058267}",Kmp8ruVSEYmVU637aQqihw,OK,110387,Boston,42.275738,-71.147591,20.598845999999998,0,POINT (-71.14759100000001 42.275738),54445,Residential
9998,gsv_9998.jpg,© Google,2013-08-01,"{'lat': 42.2776994, 'lng': -71.1071623}",NFE7I0MVY7h3wIXfni1GTg,OK,111924,Boston,42.278011,-71.106873,25.932276,1,POINT (-71.10687299999999 42.278011),54635,Open Space
2913,gsv_2913.jpg,© Google,2013-08-01,"{'lat': 42.2633767648181, 'lng': -71.16579595141357}",5VnhW3n5eL4_0Pp7i89knw,OK,101369,Boston,42.26339,-71.165977,25.815205,1,POINT (-71.165977 42.26339),54449,Residential
11607,gsv_11607.jpg,© Google,2018-07-01,"{'lat': 42.2812694, 'lng': -71.1037297}",l8haLoXrObvy7xrJlHg4Ag,OK,113877,Boston,42.280937,-71.10368299999998,26.458585999999997,1,POINT (-71.10368299999998 42.280937),54635,Open Space
15845,gsv_15845.jpg,© Google,2018-08-01,"{'lat': 42.34572444375338, 'lng': -71.03645433146367}",JSEeOf-wK3VCRA1LiC0SGA,OK,23697,Boston,42.345797999999995,-71.036407,22.098778,0,POINT (-71.036407 42.345798),55417,Industrial
1545,gsv_1545.jpg,© Google,2013-09-01,"{'lat': 42.27359016019536, 'lng': -71.111235253412}",wEoG-R19D3BM3t-1kKOY7Q,OK,108660,Boston,42.273464000000004,-71.111,29.490209999999998,1,POINT (-71.111 42.273464),54331,Residential
650,gsv_650.jpg,© Google,2013-08-01,"{'lat': 42.29415093046052, 'lng': -71.14056902807022}",3fy38xochYk7UZNNljvz5w,OK,121278,Boston,42.294261999999996,-71.140274,25.221247,1,POINT (-71.14027400000001 42.294262),54450,Residential
11118,gsv_11118.jpg,© Google,2013-08-01,"{'lat': 42.29754566301729, 'lng': -71.09877019727986}",wZUQsYthzArizOPnTNRdUw,OK,122535,Boston,42.297531,-71.098984,28.228483,1,POINT (-71.098984 42.297531),54676,Open Space
16757,gsv_16757.jpg,© Google,2018-10-01,"{'lat': 42.29393579157508, 'lng': -71.17728799045766}",egYKemRZrGkz-Ee6gYlg9A,OK,121203,Boston,42.293938,-71.177238,29.41367,1,POINT (-71.177238 42.293938),54443,Miscellaneous
17590,gsv_17590.jpg,© Google,2018-10-01,"{'lat': 42.37246266962097, 'lng': -71.02819284980515}",tMcQT_xN5PGCjyW56M6TTg,OK,40921,Boston,42.372448,-71.028152,14.212729999999999,0,POINT (-71.02815200000001 42.372448),55435,Miscellaneous
2245,gsv_2245.jpg,© Google,2018-08-01,"{'lat': 42.3042808948238, 'lng': -71.08372820817328}",RS7jLsQPyELTipcv9XPV1Q,OK,4447,Boston,42.304199,-71.083321,29.786232000000002,1,POINT (-71.083321 42.304199),54675,Residential
12811,gsv_12811.jpg,© Google,2018-10-01,"{'lat': 42.3685301, 'lng': -71.1306406}",zmUtRRkLDNGnzcuLx2WdXA,OK,38467,Boston,42.368549,-71.130608,21.187296,0,POINT (-71.130608 42.368549),55391,Open Space
8248,gsv_8248.jpg,© Google,2018-09-01,"{'lat': 42.34548824406233, 'lng': -71.14996900881168}",yvytLFq5vbkkrtLsEvJKZA,OK,23444,Boston,42.34515,-71.150116,24.295694,0,POINT (-71.150116 42.34515),55386,Residential
8897,gsv_8897.jpg,© Google,2013-10-01,"{'lat': 42.26145274464373, 'lng': -71.10291247846992}",tUM7VUnWvbjJneEQ7tPYAQ,OK,99713,Boston,42.261435999999996,-71.102936,19.259792,0,POINT (-71.102936 42.261436),54349,Residential
1005,gsv_1005.jpg,© Google,2018-09-01,"{'lat': 42.3234289181973, 'lng': -71.11464226884947}",eUuYR0rd8dcxi2oBofAALQ,OK,11147,Boston,42.323376,-71.114655,27.33620100000001,1,POINT (-71.114655 42.323376),55756,Residential
11622,gsv_11622.jpg,© Google,2018-07-01,"{'lat': 42.31660161578506, 'lng': -71.10514674270937}",tdDnGlZReto0fSfRqX0T_g,OK,8516,Boston,42.316547,-71.105087,27.620787,1,POINT (-71.105087 42.316547),55774,Open Space
7935,gsv_7935.jpg,© Google,2013-08-01,"{'lat': 42.23343608932305, 'lng': -71.13227205655721}",c5pqzYkVIG-oo9O7GBJL8w,OK,81437,Boston,42.233486,-71.132202,20.858667,0,POINT (-71.13220200000001 42.233486),54380,Residential
19499,gsv_19499.jpg,© Google,2016-05-01,"{'lat': 42.31910930452148, 'lng': -71.06777711761865}",P1kKP-CSsKyjJSqNoo9zRA,OK,9490,Boston,42.319148999999996,-71.06755799999998,22.612307,0,POINT (-71.06755799999998 42.319149),55611,Business
16322,gsv_16322.jpg,© Google,2018-08-01,"{'lat': 42.38701816771515, 'lng': -71.07631953333379}",b6qp4kBt6mpTUnaPaV48JA,OK,51225,Boston,42.387074,-71.076378,17.66297,0,POINT (-71.07637800000001 42.387074),54848,Industrial
12648,gsv_12648.jpg,© Google,2018-08-01,"{'lat': 42.3535967168829, 'lng': -71.06800877226982}",qmjYUgDCTq_hnXq00ghMHQ,OK,29337,Boston,42.3536,-71.067932,19.00597,0,POINT (-71.067932 42.3536),55212,Open Space
7708,gsv_7708.jpg,© Google,2018-08-01,"{'lat': 42.28020154531374, 'lng': -71.07956146359678}",Vjn2fvLbwowJkA037qI_yw,OK,113171,Boston,42.279964,-71.079475,23.907417000000002,0,POINT (-71.079475 42.279964),55613,Residential
8061,gsv_8061.jpg,© Google,2016-06-01,"{'lat': 42.25036923650929, 'lng': -71.13176829250379}",67d_gCfIylqUyN1nyD20jA,OK,91194,Boston,42.250389,-71.131828,21.350899,0,POINT (-71.131828 42.250389),54344,Residential
14409,gsv_14409.jpg,© Google,2018-09-01,"{'lat': 42.33008648575277, 'lng': -71.06004367596228}",5sBjJlXoC_3yMyzILhG3iw,OK,13963,Boston,42.3302,-71.060051,19.577345,0,POINT (-71.060051 42.3302),55419,Industrial
6500,gsv_6500.jpg,© Google,2018-08-01,"{'lat': 42.33150119397993, 'lng': -71.09729754045645}",gshgUnrGFmzj7i-Y0s2RTA,OK,14789,Boston,42.331497,-71.097206,22.678587,0,POINT (-71.097206 42.331497),55051,Residential
10959,gsv_10959.jpg,© Google,2015-08-01,"{'lat': 42.35419144713142, 'lng': -71.06420413061694}",nlRekzFstVjzH4GX3RgVfQ,OK,29733,Boston,42.354248,-71.064178,25.461222,1,POINT (-71.064178 42.354248),55212,Open Space
19571,gsv_19571.jpg,© Google,2018-06-01,"{'lat': 42.3455705, 'lng': -71.056675}",cKeUZ0kgwUh5wyIwCRwp1Q,OK,23724,Boston,42.345797999999995,-71.056679,11.776688,0,POINT (-71.056679 42.345798),55426,Business
11932,gsv_11932.jpg,© Google,2018-10-01,"{'lat': 42.35052040404911, 'lng': -71.13631336298907}",q3TkvHFdVb90IpDW7TIU9A,OK,27482,Boston,42.350674,-71.13679499999998,22.458864000000002,0,POINT (-71.13679499999998 42.350674),55264,Open Space
1824,gsv_1824.jpg,© Google,2018-08-01,"{'lat': 42.32635708203026, 'lng': -71.08912824620626}",DwI4kTlAIFrA5TNVTNtnrw,OK,12236,Boston,42.326298,-71.088951,28.497633,1,POINT (-71.08895099999999 42.326298),54740,Residential
14977,gsv_14977.jpg,© Google,2018-08-01,"{'lat': 42.33445524534275, 'lng': -71.05493495425057}",9xvQS3w185y2oeZwlJdarg,OK,16499,Boston,42.334423,-71.054985,21.636105999999998,0,POINT (-71.054985 42.334423),55405,Industrial
2572,gsv_2572.jpg,© Google,2018-08-01,"{'lat': 42.3323552, 'lng': -71.0318887}",B549vamvPTRRd00A3mXLPA,OK,15075,Boston,42.33215,-71.031906,28.146976000000002,1,POINT (-71.03190600000001 42.33215),54595,Residential
13199,gsv_13199.jpg,© Google,2016-11-01,"{'lat': 42.26256490306258, 'lng': -71.14122721125881}",rq7Ie9cYjXSgjKXq7FnrmA,OK,100544,Boston,42.262413,-71.141769,18.521835,0,POINT (-71.141769 42.262413),54440,Open Space
16323,gsv_16323.jpg,© Google,2018-09-01,"{'lat': 42.33861123321952, 'lng': -71.03550804709204}",5AVCii6mq2m93h2rGxEbNQ,OK,19173,Boston,42.33865,-71.036034,14.734426999999998,0,POINT (-71.036034 42.33865),54198,Industrial
18732,gsv_18732.jpg,© Google,2018-09-01,"{'lat': 42.28806783178901, 'lng': -71.0900960254216}",ZHIvDsJwsmtugs3vF_AFGA,OK,118312,Boston,42.288090000000004,-71.090172,25.350988,1,POINT (-71.090172 42.28809),54320,Business
17559,gsv_17559.jpg,© Google,2018-08-01,"{'lat': 42.37829378843935, 'lng': -71.05217287027773}",cyhnOMRGhqcMj9CsnOndsg,OK,45085,Boston,42.3783,-71.05216999999998,22.48732900000001,0,POINT (-71.05216999999998 42.3783),54855,Mixed Use
